city,station name,province,station_id,"latitude (', '')","longitude (', "")",Elevation (m)
Beijing,北京,北京,545110,3948,11628.0,32.5
Tianjin,天津,天津,545270,3905,11703.0,4.3
Tangshan,唐山,河北,545340,3939,11806.0,24.5
Baoding,保定,河北,546020,3844,11529.0,17.9
Zhangjiakou,张家口,河北,544010,4046,11455.0,774.1
Chengde,承德,河北,544230,4058,11755.0,423.5
Xingtai,邢台,河北,537980,3704,11430.0,78.5
Taiyuan,太原,山西,537720,3737,11235.0,777.3
Hohehot,呼和浩特,内蒙古,534630,4051,11134.0,1154.4
Shenyang,沈阳,辽宁,543420,4144,12331.0,49.5
Dalian,大连,辽宁,546620,3854,12138.0,92.5
Changchun,长春,吉林,541610,4354,12513.0,237.5
Harbin,哈尔滨,黑龙江,509530,4556,12634.0,117.7
Shanghai,上海,上海,583670,3112,12126.0,8.6
Nanjing,南京,江苏,582380,3156,11854.0,36.4
Xuzhou,徐州,江苏,580270,3417,11709.0,42.0
Huai'an,淮安,江苏,581410,3338,11856.0,13.7
Hangzhou,杭州,浙江,584570,3014,12010.0,42.6
Lishui,丽水,浙江,586460,2827,11955.0,59.6
Hefei,合肥,安徽,583210,3147,11718.0,28.2
Fuzhou,福州,福建,588470,2605,11917.0,84.8
Xiamen,厦门,福建,591340,2429,11804.0,140.6
Nanchang,南昌,江西,586060,2836,11555.0,47.9
Jinan,济南,山东,548230,3636,11700.0,171.2
Qingdao,青岛,山东,548570,3604,12020.0,75.3
Zhengzhou,郑州,河南,570830,3443,11339.0,111.6
Wuhan,武汉,湖北,574940,3036,11403.0,24.4
Changsha,长沙,湖南,576870,2813,11255.0,69.2
Guangzhou,广州,广东,592870,2313,11329.0,71.5
Shenzhen,深圳,广东,594930,2232,11400.0,63.9
Nanning,南宁,广西,594310,2238,10813.0,122.6
Haikou,海口,海南,597580,2000,11015.0,64.7
Chongqing,重庆,重庆,575160,2935,10628.0,259.6
Guiyang,贵阳,贵州,578160,2635,10644.0,1224.9
Kunming,昆明,云南,567780,2500,10239.0,1889.1
Xining,西宁,青海,528660,3644,10145.0,2296.0
Yinchuan,银川,宁夏,536140,3828,10612.0,1111.6
Yingkou,营口,辽宁,544710,4039,12210.0,4.6
Dandong,丹东,辽宁,544970,4003,12420.0,13.1
Weifang,潍坊,山东,548430,3645,11912.0,22.5
Rizhao,日照,山东,549450,3526,11932.0,37.1
Shaoguan,韶关,广东,590820,2440,11336.0,122.3
Shantou,汕头,广东,593160,2324,11641.0,3.9
Zhanjiang,湛江,广东,596580,2109,11018.0,54.1
Shanwei,汕尾,广东,595010,2248,11522.0,17.7
Heyuan,河源,广东,592930,2348,11444.0,71.6
Yangjiang,阳江,广东,596630,2150,11158.0,90.8
Datong,大同,山西,534870,4005,11325.0,1053.6
Chifeng,赤峰,内蒙古,542180,4218,11850.0,669.0
Benxi,本溪,辽宁,543460,4119,12347.0,186.1
Qiqihar,齐齐哈尔,黑龙江,507450,4723,12355.0,148.5
Mudanjiang,牡丹江,黑龙江,540940,4430,12940.0,306.5
Anyang,安阳,河南,538980,3603,11408.0,195.7
Yichang,宜昌,湖北,574610,3044,11122.0,257.5
Jingzhou,荆州,湖北,574760,3021,11209.0,33.4
Yueyang,岳阳,湖南,575840,2923,11305.0,49.7
Changde,常德,湖南,576620,2907,11141.0,151.4
Guilin,桂林,广西,579570,2519,11018.0,165.6
Beihai,北海,广西,596440,2127,10908.0,14.0
Liuzhou,柳州,广西,590460,2421,10924.0,97.8
Yibin,宜宾,四川,564920,2848,10436.0,342.1
Karamay,克拉玛依,新疆,512430,4537,8451.0,450.7
Kuerle,库尔勒,新疆,516560,4145,8608.0,932.5
Liyang,溧阳,江苏,583450,3126,11929.0,8.1
Xinyang,信阳,河南,572970,3208,11403.0,115.4
Tongliao,通辽,内蒙古,541350,4336,12216.0,180.1
Chaoyang,朝阳,辽宁,543240,4133,12026.0,175.3
Chaoyang,朝阳,辽宁,543240,4133,12026.0,175.3
Siping,四平,吉林,541570,4310,12420.0,167.2
Jixi,鸡西,黑龙江,509780,4518,13055.0,273.5
Yichun,伊春,黑龙江,507740,4742,12850.0,259.1
Bangbu,蚌埠,安徽,582210,3251,11718.0,28.0
Huangshan,黄山,安徽,584370,3008,11809.0,1841.4
Fuyang,阜阳,安徽,582030,3252,11544.0,33.9
Bozhou,亳州,安徽,581020,3352,11546.0,39.2
Jingdezhen,景德镇,江西,585270,2918,11712.0,62.9
Yichun,宜春,江西,577930,2748,11423.0,132.3
Nanyang,南阳,河南,571780,3306,11229.0,181.6
Zhumadian,驻马店,河南,572900,3256,11355.0,107.2
Chenzhou,郴州,湖南,579720,2548,11302.0,187.1
Yongzhou,永州,湖南,578660,2614,11137.0,172.1
Wuzhou,梧州,广西,592650,2329,11118.0,116.0
Qinzhou,钦州,广西,596320,2157,10837.0,5.8
Baise,百色,广西,592110,2354,10636.0,175.9
Hechi,河池,广西,590230,2442,10802.0,261.2
Bijie,毕节,贵州,577070,2718,10517.0,1511.5
Baoshan,保山,云南,567480,2507,9911.0,1651.2
Zhaotong,昭通,云南,565860,2721,10343.0,1950.0
Lijiang,丽江,云南,566510,2651,10013.0,2382.1
Lincang,临沧,云南,569510,2353,10005.0,1502.6
Qamdo,昌都,西藏,561370,3109,9710.0,3316.2
Nyingchi,林芝,西藏,563120,2940,9420.0,2993.0
Hanzhong,汉中,陕西,571270,3304,10702.0,510.7
Yulin,榆林,陕西,536460,3816,10947.0,1157.8
Ankang,安康,陕西,572450,3243,10902.0,291.7
Zhangye,张掖,甘肃,526520,3905,10017.0,1462.3
Jiuquan,酒泉,甘肃,525330,3946,9829.0,1478.4
